OBJECTID,Id_Jardin,Nombre,Barrio,Tipologia,Area,Zona,Distrito_Municipal,geo_point_2d
1321,99110725,MIGUEL PAREDES C - JOSE MAESTRE C,TRES FORQUES,Acompañamiento Viario,116.28209438,SUR,OLIVERETA,"39.46741870392771, -0.4036946103532151"
1363,99110924,MONSEÑOR OSCAR ROMERO C,SANT MARCEL.LI,Jardines,1836.50060611,SUR,JESUS,"39.445674090091735, -0.39105410733723805"
1366,99121352,ROTONDA AV CATALUÑA,LA CARRASCA,Parques Urbanos,6801.23948519,NORTE,ALGIROS,"39.48158919298232, -0.3513420178017923"
2059,99101102,Doctor Lorenzo de la Flor Pl,CABANYAL-CANYAMELAR,Jardines,1793.76641463,NORTE,POBLATS MARITIMS,"39.46924532124384, -0.33106836693027636"
2060,99101305,Grabador Manuel Peleguer C,CIUTAT JARDI,Jardines,951.51118523,NORTE,ALGIROS,"39.47270834073585, -0.34773407890097896"
2061,99101248,Pintor Maella C - Carolina Álvarez C,LA CREU DEL GRAU,Acompañamiento Viario,1874.684079915,NORTE,CAMINS AL GRAU,"39.46100023782047, -0.34712916622007883"
1328,99110939,"ESCULTOR FRECHINA, PI (II)",HORT DE SENABRE,Jardines,1076.55231809,SUR,JESUS,"39.45129941744073, -0.3904542135231523"
1347,99110912,GENERAL BARROSO C,HORT DE SENABRE,Jardines,3162.4033235,SUR,JESUS,"39.45289983781948, -0.39110481081271875"
1348,99111925,PINTOR JOAN MIRO C (II) - GIMENEZ Y COSTA C,TORREFIEL,Acompañamiento Viario,305.56009619,SUR,RASCANYA,"39.436138875206964, -0.389785256238109"
1369,99110309,ANTIGUO MERCADO DE ABASTOS,ARRANCAPINS,Acompañamiento Viario,1940.13552363,SUR,EXTRAMURS,"39.46778510685243, -0.3880488946753684"
1375,99121620,PARQUE DE BENICALAP,CIUTAT FALLERA,Parques Urbanos,79617.64284419,NORTE,BENICALAP,"39.49751155237481, -0.3965940715744199"
1377,99110824,JOSE MARIA MORTES LERMA C (II) - JOSEP SANCHIS (DIBUIXANT),VARA DE QUART,Jardines,2336.07841262,SUR,PATRAIX,"39.46306082490866, -0.39849049438170653"
1381,99121611,A5,BENICALAP,Parques Urbanos,1535.162255235,NORTE,BENICALAP,"39.493279068005535, -0.3987333081457668"
1395,99110301,ALBERIQUE C - PINTOR NAVARRO LLORENS C (ISLETAS),ARRANCAPINS,Acompañamiento Viario,299.925623045,SUR,EXTRAMURS,"39.46705044909578, -0.3875517042025621"
1401,99111919,MONTA�ARES CMNO - EL RULLO ENTRD - ROTONDA,PINEDO,Acompañamiento Viario,731.688954665,SUR,POBLES DEL SUD,"39.41926226799536, -0.3360449695620849"
1404,99110312,PELAYO C - ERMITA C,ROQUETA,Jardines,1324.21011564,SUR,EXTRAMURS,"39.46450610949588, -0.37943476020330613"
1408,99111078,ROTONDA CARRETERA DEL RIU / IGLESIA,LA PUNTA,Acompañamiento Viario,750.076387,SUR,QUATRE CARRERES,"39.445197366166724, -0.34056415238864024"
1417,99110712,NOU MOLES PL (CARTAGENA C.),NOU MOLES,Jardines,4453.815685505,SUR,OLIVERETA,"39.47117973132363, -0.3942360893118343"
1419,99110304,LITERATO GABRIEL MIRO C - JUAN LLORENS C,PETXINA,Jardines,1691.692040925,SUR,EXTRAMURS,"39.472274731873625, -0.39085378789560365"
1420,99110320,VENTURA FELIU PJ - ALBACETE C,ARRANCAPINS,Acompañamiento Viario,194.94886534,SUR,EXTRAMURS,"39.462537406896956, -0.38449316075931855"
1430,99110126,MORO ZEIT - CARDA C,MERCAT,Acompañamiento Viario,39.261548205,SUR,CIUTAT VELLA,"39.475155147059496, -0.38078929247734133"
1434,99111929,ROTONDA APOLO DE PINEDO (CARRERA DEL RIU),PINEDO,Acompañamiento Viario,313.51059487,SUR,POBLES DEL SUD,"39.42488408999912, -0.34115731531947907"
1452,99111946,CARRERA DEL RIU (ENTRADA PINEDO),PINEDO,Acompañamiento Viario,10.13979692,SUR,POBLES DEL SUD,"39.42440765544403, -0.34111102429210893"
1478,99110703,ARCHENA C,SOTERNES,Jardines,2252.916776035,SUR,OLIVERETA,"39.47212060291891, -0.4092474220314477"
1484,99110833,TRES FORQUES C - ENGUERA C,PATRAIX,Acompañamiento Viario,73.240335005,SUR,PATRAIX,"39.46408462498275, -0.39370818579623806"
1485,99111042,PAI ALQUERIA BENET,MALILLA,Jardines,4446.85386508,SUR,QUATRE CARRERES,"39.45036091007481, -0.3809417134391129"
