Zona,Lat,Lon,KEY
"JESÚS, Nº 68 (de Maluquer a Giorgeta)",39.4632827,-0.3861997,126
"AV. PÉREZ GALDÓS, Nº 11 (de Cuenca a Jesús)",39.4634224,-0.3877363,127
"RAMON Y CAJAL, 17 - ENTRADA TUNEL (De Ramón y Cajal a Germanías)",39.464608,-0.3813553,129
"SAN VICENTE MARTIR, Nº 128 (de Marvá a Pl. España)",39.46409080000001,-0.3822003,130
"SAN VICENTE MARTIR, Nº237 (de Amparo Iturbi a Uruguay)",39.4580599,-0.383343,131
"SAN VICENTE MARTIR, Nº 188 (de Av. Giorgeta a Maestro Sosa)",39.4595659,-0.383211,132
"SAN VICENTE MARTIR, Nº 209 (de Av. Giorgeta a Dolores Alcaide)",39.4567999,-0.3832576,133
"AV. GIORGETA, Nº 20 (de Uruguay a Mora de Rubielos)",39.4604219,-0.3857221,134
"AV. GIORGETA, Nº 2 (de Jesús a Carcagente)",39.4618889,-0.3866514,135
"SAN VICENTE MARTIR, Nº 174 (de Maestro Sosa a Marvá)",39.4611408,-0.3829302,136
"AV. TRES FORQUES, Nº 52 (de Enguera a Av. Archiduque Carlos)",39.4638032,-0.3940643,139
"AV. ARCHIDUQUE CARLOS, Nº 41 (de Enguera a Av. Tres Forques)",39.46498769999999,-0.3946259,141
"AV. ARCHIDUQUE CARLOS, Nº 73 (de Fontanares a Av. Tres Forques)",39.4628716,-0.3967777,142
"FONTANARES, Nº 64 (de Vicente Clavel a Av. Archiduque Carlos)",39.46194029999999,-0.3962031,143
"FONTANARES, Nº 69 (de Av. Archiduque Carlos a Vicente Clavel)",39.4622947,-0.3971274,144
"ENGUERA, Nº 27 (de Av. Archiduque Carlos a Chiva)",39.4658319,-0.394381,145
"FRAY JUNIPERO SERRA, Nº 80 (de José María Mortes Lerma a Av. Tres Forques)",39.463093,-0.4005966,146
"STA. CRUZ DE TENERIFE, Nº 18 (de Llombay a Av. Tres Forques)",39.4645217,-0.4012018,147
TRES FORQUES frente nº 99 (de Maria Montessori a Santa Cruz de Tenerife),39.4663404,-0.4019162000000001,148
"AV. TRES FORQUES, Nº 97 (de Virgen de la Cabeza a Av. Archiduque Carlos)",39.4636694,-0.3992193,149
"CHIVA, Nº 29 (de Ayora a Archiduque Carlos)",39.46624389999999,-0.392447,150
"AYORA, Nº 14 (de Chiva a Av. del Cid)",39.4664338,-0.3922923,151
"ENGUERA, Nº 8 (de Av. Archiduque Carlos a Av. Tres Forques)",39.4649434,-0.3943649,152
"ENGUERA, Nº 37 (de Av. Tres Forques a Av. Archiduque Carlos)",39.4646475,-0.3938451,153
"AV. ARCHIDUQUE CARLOS, Nº 28 (de Av. Tres Forques a Fontanares)",39.463681,-0.396645,154
"JOSE MARIA MORTES LERMA, Nº 2 (de Av. Archiduque Carlos a Virgen de la Cabeza)",39.4632197,-0.3972265,155
"AV. ARCHIDUQUE CARLOS, Nº 99 (de Virgen de la Cabeza a Fontanares)",39.4616358,-0.3981725,156
"VIRGEN DE LA CABEZA, Nº 42 (de Torrente a Av. Archiduque Carlos)",39.46189529999999,-0.39874,157
"VIRGEN DE LA CABEZA ,Nº 42 (de Av. Archiduque Carlos a Av. Tres Forques)",39.46189529999999,-0.39874,158
"AV. ARCHIDUQUE CARLOS, Nº 58 (de Virgen de la Cabeza a Fray Junípero Serra)",39.4614751,-0.3989820000000001,159
"AV. ARCHIDUQUE CARLOS, Nº 111 (de Fray Junípero Serra a Virgen de la Cabeza)",39.4608181,-0.3992005,160
"AV. ARCHIDUQUE CARLOS, Nº 72 (de Fray Junípero Serra a Puebla de Valverde)",39.4601603,-0.4005508,161
"AV. ARCHIDUQUE CARLOS, Nº 117 (de Músico Gomis a Fray Junípero Serra)",39.4598142,-0.4002034,162
"AV. ARCHIDUQUE CARLOS, Nº 82 (de Puebla de Valverde a Av. Tres Cruces)",39.4596568,-0.401243,163
TRES FORQUES frente nº 77 (de Archiduque Carlos a Norman Bethune),39.4663404,-0.4019162000000001,164
"STA. CRUZ DE TENERIFE, Nº 24 (de Av. Tres Forques a Músico Ayllón)",39.4640017,-0.4013502,165
"AV. TRES FORQUES, Nº 107 (de Fray Junipero Serra a Virgen de la Cabeza)",39.4636193,-0.401149,166
"FRAY JUNIPERO SERRA, Nº 85 (de Av. Tres Forques a José María Mortes Lerma)",39.46357320000001,-0.4011136,167
"AV. TRES FORQUES, Nº 92ac (de Sta. Cruz de Tenerife a José Maestre)",39.46382759999999,-0.4027922,168
"AV. TRES FORQUES, Nº 123 (de Ceramista Ros a Fray Junípero Serra)",39.463461,-0.4029954,169
"AV. TRES FORQUES, Nº 129 (de José Maestre a Av. Tres Cruces)",39.4634411,-0.4039861,170
